configuration_id,generation_id,powertrain_id,market,model_year,trim_name,official_configuration_name,availability_status,availability_from,availability_to,configuration_status,legacy_trim_text,legacy_source_id,notes
CFG-000011,GEN-000009,PWR-000009,TR,2026,Elite,i20 Elite 1.0 T-GDI 90 PS 7DCT,CURRENT,,,VERIFIED,Elite,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000012,GEN-000010,PWR-000010,TR,2026,Elegance+,Civic Elegance+ 1.5L VTEC Turbo ECO LPG CVT,CURRENT,,,VERIFIED,Elegance+,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000013,GEN-000010,PWR-000010,TR,2026,Executive+,Civic Executive+ 1.5L VTEC Turbo ECO LPG CVT,CURRENT,,,VERIFIED,Executive+,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000014,GEN-000011,PWR-000011,TR,2026,N-Connecta,Qashqai N-Connecta 1.3 DIG-T Mild Hybrid X-Tronic,CURRENT,,,VERIFIED,N-Connecta,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000015,GEN-000011,PWR-000012,TR,2026,Skypack,Qashqai Skypack e-POWER 190,CURRENT,,,VERIFIED,Skypack,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000016,GEN-000012,PWR-000013,TR,2026,Combi Sportline,Octavia Combi Combi Sportline 1.5 TSI mHEV 150 PS DSG,CURRENT,,,VERIFIED,Combi Sportline,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000017,GEN-000013,PWR-000014,TR,2026,Extreme,Jogger Extreme Eco-G 120 auto,CURRENT,,,PROVISIONAL,Extreme,SCALE_BATCH_01,Turkey model availability confirmed; exact configuration remains provisional pending a current trim matrix.
CFG-000018,GEN-000014,PWR-000015,TR,2026,techno esprit Alpine,Austral techno esprit Alpine full hybrid E-Tech 200 hp,CURRENT,,,VERIFIED,techno esprit Alpine,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000019,GEN-000015,PWR-000016,TR,2026,Hybrid Flame,C-HR Hybrid Flame 1.8 Hybrid 140 e-CVT,CURRENT,,,VERIFIED,Hybrid Flame,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000020,GEN-000015,PWR-000016,TR,2026,Hybrid Passion,C-HR Hybrid Passion 1.8 Hybrid 140 e-CVT,CURRENT,,,VERIFIED,Hybrid Passion,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000021,GEN-000016,PWR-000017,TR,2026,Crosstar,Jazz e:HEV Crosstar 1.5L Hybrid e-CVT,CURRENT,,,VERIFIED,Crosstar,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000022,GEN-000017,PWR-000018,TR,2026,Xclusive,Crosstrek Xclusive 2.0i e-BOXER Lineartronic AWD,CURRENT,,,VERIFIED,Xclusive,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000023,GEN-000018,PWR-000019,TR,2026,Impulse,Formentor Impulse 1.5 eTSI 150 PS DSG mHEV,CURRENT,,,VERIFIED,Impulse,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000024,GEN-000018,PWR-000020,TR,2026,VZ,Formentor VZ 1.5 e-HYBRID 272 PS DSG,CURRENT,,,VERIFIED,VZ,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000025,GEN-000019,PWR-000021,TR,2026,Luxury,HS Hybrid+ Luxury 1.5 Turbo Hybrid+ 224 PS,CURRENT,,,VERIFIED,Luxury,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000026,GEN-000020,PWR-000022,TR,2026,e-Prestige 60,Elroq e-Prestige 60 60 61 kWh 140 kW,CURRENT,,,VERIFIED,e-Prestige 60,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000027,GEN-000021,PWR-000023,TR,2026,Combi Prestige,Superb Combi Combi Prestige 1.5 TSI mHEV 150 PS DSG,CURRENT,,,VERIFIED,Combi Prestige,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000028,GEN-000022,PWR-000024,TR,2026,Style,Forester e-BOXER Style 2.0i e-BOXER Lineartronic AWD,CURRENT,,,PROVISIONAL,Style,SCALE_BATCH_01,Turkey model availability confirmed; exact configuration remains provisional pending a current trim matrix.
CFG-000029,GEN-000023,PWR-000025,TR,2026,Premium,Scala Premium 1.0 TSI 115 PS DSG,CURRENT,,,PROVISIONAL,Premium,SCALE_BATCH_01,Turkey model availability confirmed; exact configuration remains provisional pending a current trim matrix.
