equipment_id,configuration_id,equipment_key,availability,evidence_state,notes
EQP-000104,CFG-000010,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000105,CFG-000010,android_auto,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000106,CFG-000011,aeb,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000107,CFG-000011,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000108,CFG-000011,parking_sensors_rear,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000109,CFG-000011,reversing_camera,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000110,CFG-000011,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000111,CFG-000011,android_auto,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000112,CFG-000019,aeb,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000113,CFG-000019,adaptive_cruise_control,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000114,CFG-000019,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000115,CFG-000019,isofix_rear,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000116,CFG-000019,reversing_camera,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000117,CFG-000019,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000118,CFG-000019,android_auto,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000119,CFG-000020,aeb,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000120,CFG-000020,adaptive_cruise_control,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000121,CFG-000020,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000122,CFG-000020,isofix_rear,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000123,CFG-000020,reversing_camera,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000124,CFG-000020,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000125,CFG-000020,android_auto,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000126,CFG-000022,aeb,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000127,CFG-000022,adaptive_cruise_control,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000128,CFG-000022,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000129,CFG-000022,blind_spot_monitor,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000130,CFG-000022,rear_cross_traffic_alert,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000131,CFG-000022,reversing_camera,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000132,CFG-000023,aeb,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000133,CFG-000023,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000134,CFG-000023,parking_sensors_rear,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000135,CFG-000023,reversing_camera,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000136,CFG-000023,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000137,CFG-000023,android_auto,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000138,CFG-000024,aeb,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000139,CFG-000024,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000140,CFG-000024,parking_sensors_rear,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000141,CFG-000024,reversing_camera,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000142,CFG-000024,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000143,CFG-000024,android_auto,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000144,CFG-000025,aeb,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000145,CFG-000025,adaptive_cruise_control,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000146,CFG-000025,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000147,CFG-000025,blind_spot_monitor,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000148,CFG-000025,rear_cross_traffic_alert,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000149,CFG-000026,adaptive_cruise_control,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000150,CFG-000026,parking_sensors_rear,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000151,CFG-000026,parking_sensors_front,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000152,CFG-000026,reversing_camera,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000153,CFG-000026,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000154,CFG-000026,android_auto,STANDARD,VERIFIED,SCALE_BATCH_01 exact trim evidence.
EQP-000155,CFG-000039,aeb,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000156,CFG-000039,adaptive_cruise_control,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000157,CFG-000039,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000158,CFG-000039,reversing_camera,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000159,CFG-000041,aeb,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000160,CFG-000041,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000161,CFG-000041,isofix_rear,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000162,CFG-000041,parking_sensors_rear,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000163,CFG-000041,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000164,CFG-000041,android_auto,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000165,CFG-000042,aeb,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000166,CFG-000042,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000167,CFG-000042,isofix_rear,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000168,CFG-000042,parking_sensors_rear,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000169,CFG-000042,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000170,CFG-000042,android_auto,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000171,CFG-000043,aeb,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000172,CFG-000043,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000173,CFG-000043,parking_sensors_rear,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000174,CFG-000043,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000175,CFG-000043,android_auto,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000176,CFG-000044,aeb,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000177,CFG-000044,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000178,CFG-000044,parking_sensors_rear,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000179,CFG-000044,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000180,CFG-000044,android_auto,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000181,CFG-000045,aeb,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000182,CFG-000045,adaptive_cruise_control,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000183,CFG-000045,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000184,CFG-000045,blind_spot_monitor,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000185,CFG-000045,rear_cross_traffic_alert,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000186,CFG-000045,camera_360,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000187,CFG-000045,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000188,CFG-000045,android_auto,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000189,CFG-000046,aeb,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000190,CFG-000046,adaptive_cruise_control,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000191,CFG-000046,lane_keep_assist,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000192,CFG-000046,blind_spot_monitor,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000193,CFG-000046,rear_cross_traffic_alert,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000194,CFG-000046,camera_360,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000195,CFG-000046,apple_carplay,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
EQP-000196,CFG-000046,android_auto,STANDARD,VERIFIED,SCALE_BATCH_02 decision-relevant equipment only.
