model_id,brand,model_name,body_family,market_relevance_tr,source_catalog_status,legacy_source_id,notes
MOD-000012,Škoda,Octavia Combi,WAGON,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,"SCALE_BATCH_01 MAINSTREAM: Practical-family wagon coverage, underrepresented in the pilot."
MOD-000013,Dacia,Jogger,MPV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: Seven-seat/practical family role and value-led discovery use case.
MOD-000014,Renault,Austral,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: Full-hybrid family SUV and long-range mainstream role.
MOD-000015,Toyota,C-HR,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: Locally produced HEV crossover with exact 2026 trim matrix.
MOD-000016,Honda,Jazz e:HEV,HATCHBACK,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: Space-efficient HEV hatch with exact current Turkey trim.
MOD-000017,Subaru,Crosstrek,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,"SCALE_BATCH_01 DISCOVERY: AWD, 220 mm clearance and rough-road/camping relevance."
MOD-000018,CUPRA,Formentor,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 DISCOVERY: Discovery-oriented CUV; adds both MHEV and long-range PHEV evidence.
MOD-000019,MG,HS Hybrid+,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 DISCOVERY: New Turkey-market high-power HEV family SUV alternative.
MOD-000020,Škoda,Elroq,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 DISCOVERY: Current Turkey-market BEV with structured battery/range/charging evidence.
MOD-000021,Škoda,Superb Combi,WAGON,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: Large practical-family wagon alternative.
MOD-000022,Subaru,Forester e-BOXER,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 DISCOVERY: Family-size AWD rough-road discovery candidate.
MOD-000023,Škoda,Scala,HATCHBACK,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_01,SCALE_BATCH_01 MAINSTREAM: Practical C-hatch bridge between city car and family wagon.
MOD-000024,Ford,Ranger,PICKUP,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 MAINSTREAM: pickup; towing; diesel long-distance; rough-road.
MOD-000025,Toyota,Land Cruiser Prado,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 MAINSTREAM: real 4x4; towing; large family; diesel long-distance.
MOD-000026,Hyundai,Bayon,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 MAINSTREAM: small B-SUV; urban; mainstream price/size bridge.
MOD-000027,Hyundai,INSTER,HATCHBACK,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 MAINSTREAM: city hatch; affordable EV; urban EV.
MOD-000028,Hyundai,IONIQ 6,SEDAN,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 DISCOVERY: long-range EV; efficient fastback; premium alternative.
MOD-000029,Hyundai,IONIQ 5 N,HATCHBACK,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 DISCOVERY: performance EV; AWD; premium alternative.
MOD-000030,Hyundai,IONIQ 9,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 DISCOVERY: large 7-seat SUV; family EV; long-range EV; towing.
MOD-000031,Hyundai,STARIA HEV,MPV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 DISCOVERY: MPV; passenger van; 9-seat; large family.
MOD-000032,Hyundai,SANTA FE,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 MAINSTREAM: large 7-seat SUV; HEV + AWD; family; towing.
MOD-000033,Citroën,Berlingo,MPV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 MAINSTREAM: passenger van; cargo-oriented family; diesel long-distance.
MOD-000034,Citroën,Berlingo Van,VAN,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 MAINSTREAM: commercial/practical van; cargo.
MOD-000035,BYD,SEALION 7,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 DISCOVERY: family EV; long-range EV; performance EV; BEV AWD.
MOD-000036,MINI,Countryman Electric,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 DISCOVERY: premium alternative; family EV; BEV AWD.
MOD-000037,Peugeot,3008,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 MAINSTREAM: family EV; fastback; mainstream premium bridge.
MOD-000038,Suzuki,Jimny,SUV,CURRENT,RESMI_KAYNAKTAN_DERLENDI,SCALE_BATCH_02,SCALE_BATCH_02 DISCOVERY: real 4x4; compact off-road; rough-road; camping.
