configuration_id,generation_id,powertrain_id,market,model_year,trim_name,official_configuration_name,availability_status,availability_from,availability_to,configuration_status,legacy_trim_text,legacy_source_id,notes
CFG-000011,GEN-000009,PWR-000009,TR,2026,Elite,i20 Elite 1.0 T-GDI 90 PS 7DCT,CURRENT,,,VERIFIED,Elite,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000012,GEN-000010,PWR-000010,TR,2026,Elegance+,Civic Elegance+ 1.5L VTEC Turbo ECO LPG CVT,CURRENT,,,VERIFIED,Elegance+,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000013,GEN-000010,PWR-000010,TR,2026,Executive+,Civic Executive+ 1.5L VTEC Turbo ECO LPG CVT,CURRENT,,,VERIFIED,Executive+,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000014,GEN-000011,PWR-000011,TR,2026,N-Connecta,Qashqai N-Connecta 1.3 DIG-T Mild Hybrid X-Tronic,CURRENT,,,VERIFIED,N-Connecta,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000015,GEN-000011,PWR-000012,TR,2026,Skypack,Qashqai Skypack e-POWER 190,CURRENT,,,VERIFIED,Skypack,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000016,GEN-000012,PWR-000013,TR,2026,Combi Sportline,Octavia Combi Combi Sportline 1.5 TSI mHEV 150 PS DSG,CURRENT,,,VERIFIED,Combi Sportline,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000017,GEN-000013,PWR-000014,TR,2026,Extreme,Jogger Extreme Eco-G 120 auto,CURRENT,,,PROVISIONAL,Extreme,SCALE_BATCH_01,"POST_BATCH01_HARDENING attempted with official comparison/configurator (SRC-000030/041). Extreme and Eco-G 120 auto appear as current choices, but rendered selected state defaults to TCe 110 and no exact 2026 MY linkage was captured; remains PROVISIONAL."
CFG-000018,GEN-000014,PWR-000015,TR,2026,techno esprit Alpine,Austral techno esprit Alpine full hybrid E-Tech 200 hp,CURRENT,,,VERIFIED,techno esprit Alpine,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000019,GEN-000015,PWR-000016,TR,2026,Hybrid Flame,C-HR Hybrid Flame 1.8 Hybrid 140 e-CVT,CURRENT,,,VERIFIED,Hybrid Flame,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000020,GEN-000015,PWR-000016,TR,2026,Hybrid Passion,C-HR Hybrid Passion 1.8 Hybrid 140 e-CVT,CURRENT,,,VERIFIED,Hybrid Passion,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000021,GEN-000016,PWR-000017,TR,2026,Crosstar,Jazz e:HEV Crosstar 1.5L Hybrid e-CVT,CURRENT,,,VERIFIED,Crosstar,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000022,GEN-000017,PWR-000018,TR,2026,Xclusive,Crosstrek Xclusive 2.0i e-BOXER Lineartronic AWD,CURRENT,,,VERIFIED,Xclusive,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000023,GEN-000018,PWR-000019,TR,2026,Impulse,Formentor Impulse 1.5 eTSI 150 PS DSG mHEV,CURRENT,,,VERIFIED,Impulse,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000024,GEN-000018,PWR-000020,TR,2026,VZ,Formentor VZ 1.5 e-HYBRID 272 PS DSG,CURRENT,,,VERIFIED,VZ,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000025,GEN-000019,PWR-000021,TR,2026,Luxury,HS Hybrid+ Luxury 1.5 Turbo Hybrid+ 224 PS,CURRENT,,,VERIFIED,Luxury,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000026,GEN-000020,PWR-000022,TR,2026,e-Prestige 60,Elroq e-Prestige 60 60 61 kWh 140 kW,CURRENT,,,VERIFIED,e-Prestige 60,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000027,GEN-000021,PWR-000023,TR,2026,Combi Prestige,Superb Combi Combi Prestige 1.5 TSI mHEV 150 PS DSG,CURRENT,,,VERIFIED,Combi Prestige,SCALE_BATCH_01,Exact Turkey configuration observed in official model/trim material.
CFG-000028,GEN-000022,PWR-000024,TR,2026,Style,Forester e-BOXER Style 2.0i e-BOXER Lineartronic AWD,CURRENT,,,VERIFIED,Style,SCALE_BATCH_01,POST_BATCH01_HARDENING VERIFIED: official Aug 2026 Turkey price list identifies MY2026 Forester 2.0i e-BOXER Style; official technical sheet establishes Lineartronic AWD applicability (SRC-000042/043).
CFG-000029,GEN-000023,PWR-000025,TR,2026,Premium,Scala Premium 1.0 TSI 115 PS DSG,CURRENT,,,VERIFIED,Premium,SCALE_BATCH_01,POST_BATCH01_HARDENING VERIFIED: official 2026 price list establishes current MY set and official vehicle comparison links Scala Premium directly to 1.0 TSI 115 PS DSG (SRC-000038/040/044).
CFG-000030,GEN-000024,PWR-000026,TR,2026,Wildtrak,Ranger Wildtrak 2.0L EcoBlue 4x4 Automatic,CURRENT,,,PROVISIONAL,,SCALE_BATCH_02,Official Turkey applicability source SRC-000054; no global trim import.
CFG-000031,GEN-000025,PWR-000027,TR,2026,Power,Land Cruiser Prado 2.8L D-4D Mild Hybrid Power 8 A/T,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000053; no global trim import.
CFG-000032,GEN-000026,PWR-000028,TR,2026,Style,BAYON Style 1.0 T-GDI 90 PS 7DCT,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000046; no global trim import.
CFG-000033,GEN-000027,PWR-000029,TR,2025,Dynamic,INSTER Dynamic 71.1 kW 42 kWh,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000047; no global trim import.
CFG-000034,GEN-000027,PWR-000030,TR,2025,Advance,INSTER Advance 84.5 kW 49 kWh,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000047; no global trim import.
CFG-000035,GEN-000028,PWR-000031,TR,2025,Advance,IONIQ 6 Advance 111 kW 4x2,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000048; no global trim import.
CFG-000036,GEN-000029,PWR-000032,TR,2025,N,IONIQ 5 N 448 kW 4x4,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000049; no global trim import.
CFG-000037,GEN-000030,PWR-000033,TR,2026,Progressive,IONIQ 9 Progressive 160 kW 4x2,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000050; no global trim import.
CFG-000038,GEN-000030,PWR-000034,TR,2026,Calligraphy,IONIQ 9 Calligraphy 226.1 kW 4x4,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000050; no global trim import.
CFG-000039,GEN-000031,PWR-000035,TR,2025,Elite,STARIA HEV Elite 1.6 T-GDI 225 PS AT 4x2,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000051; no global trim import.
CFG-000040,GEN-000032,PWR-000036,TR,2026,Progressive,SANTA FE 1.6 T-GDI HEV Progressive 4x4 AT,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000052; no global trim import.
CFG-000041,GEN-000033,PWR-000037,TR,2026,Plus,Berlingo Plus 1.5 BlueHDi 130 6MT,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000055; no global trim import.
CFG-000042,GEN-000033,PWR-000038,TR,2026,Max,Berlingo Max 1.5 BlueHDi 130 EAT8,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000055; no global trim import.
CFG-000043,GEN-000034,PWR-000039,TR,2026,Van,Berlingo Van 1.5 BlueHDi 130 6MT MY26,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000056; no global trim import.
CFG-000044,GEN-000034,PWR-000040,TR,2026,Van,Berlingo Van 1.5 BlueHDi 130 EAT8 MY26,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000056; no global trim import.
CFG-000045,GEN-000035,PWR-000041,TR,2026,Design,BYD SEALION 7 160 kW Design,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000057; no global trim import.
CFG-000046,GEN-000035,PWR-000042,TR,2026,Excellence,BYD SEALION 7 390 kW AWD Excellence,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000057; no global trim import.
CFG-000047,GEN-000036,PWR-000043,TR,2026,E,Tamamen Elektrikli MINI Countryman E,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000058; no global trim import.
CFG-000048,GEN-000036,PWR-000044,TR,2026,SE ALL4,Tamamen Elektrikli MINI Countryman SE ALL4,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000058; no global trim import.
CFG-000049,GEN-000037,PWR-000045,TR,2026,GT,Peugeot E-3008 GT 157 kW,CURRENT,,,VERIFIED,,SCALE_BATCH_02,Official Turkey applicability source SRC-000059; no global trim import.
CFG-000050,GEN-000038,PWR-000046,TR,,GLX,Jimny 1.5 GLX Benzinli 4x4 Otomatik,CURRENT,,,PROVISIONAL,,SCALE_BATCH_02,Official Turkey applicability source SRC-000060; no global trim import.
