assertion_id,evidence_type,evidence_id,source_id,source_location,extraction_method,verification_status,applicability_status,verified_at,verified_by,notes
AST-000017,TECHNICAL_FACT,FAC-000017,SRC-000012,engine/dimensions section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000018,TECHNICAL_FACT,FAC-000018,SRC-000012,engine/dimensions section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000019,TECHNICAL_FACT,FAC-000019,SRC-000012,engine/dimensions section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000020,TECHNICAL_FACT,FAC-000020,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000021,TECHNICAL_FACT,FAC-000021,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000022,TECHNICAL_FACT,FAC-000022,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000023,TECHNICAL_FACT,FAC-000023,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000024,TECHNICAL_FACT,FAC-000024,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000025,TECHNICAL_FACT,FAC-000025,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000026,TECHNICAL_FACT,FAC-000026,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000027,TECHNICAL_FACT,FAC-000027,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000028,TECHNICAL_FACT,FAC-000028,SRC-000013,technical specifications p.2,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,Pilot reveals need for native numeric range representation.
AST-000029,TECHNICAL_FACT,FAC-000029,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000030,TECHNICAL_FACT,FAC-000030,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000031,TECHNICAL_FACT,FAC-000031,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000032,TECHNICAL_FACT,FAC-000032,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000033,TECHNICAL_FACT,FAC-000033,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000034,TECHNICAL_FACT,FAC-000034,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000035,TECHNICAL_FACT,FAC-000035,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000036,TECHNICAL_FACT,FAC-000036,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000037,TECHNICAL_FACT,FAC-000037,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000038,TECHNICAL_FACT,FAC-000038,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000039,TECHNICAL_FACT,FAC-000039,SRC-000004,technical information table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000040,TECHNICAL_FACT,FAC-000040,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000041,TECHNICAL_FACT,FAC-000041,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000042,TECHNICAL_FACT,FAC-000042,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000043,TECHNICAL_FACT,FAC-000043,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000044,TECHNICAL_FACT,FAC-000044,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000045,TECHNICAL_FACT,FAC-000045,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000046,TECHNICAL_FACT,FAC-000046,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000047,TECHNICAL_FACT,FAC-000047,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000048,TECHNICAL_FACT,FAC-000048,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000049,TECHNICAL_FACT,FAC-000049,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000050,TECHNICAL_FACT,FAC-000050,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000051,TECHNICAL_FACT,FAC-000051,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000052,TECHNICAL_FACT,FAC-000052,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000053,TECHNICAL_FACT,FAC-000053,SRC-000015,technical data p.4–5,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000054,TECHNICAL_FACT,FAC-000054,SRC-000015,technical data p.4,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,Do not map to usable/gross without explicit semantics.
AST-000055,TECHNICAL_FACT,FAC-000055,SRC-000015,technical data p.4,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000056,TECHNICAL_FACT,FAC-000056,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000057,TECHNICAL_FACT,FAC-000057,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000058,TECHNICAL_FACT,FAC-000058,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000059,TECHNICAL_FACT,FAC-000059,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000060,TECHNICAL_FACT,FAC-000060,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000061,TECHNICAL_FACT,FAC-000061,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000062,TECHNICAL_FACT,FAC-000062,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000063,TECHNICAL_FACT,FAC-000063,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000064,TECHNICAL_FACT,FAC-000064,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000065,TECHNICAL_FACT,FAC-000065,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000066,TECHNICAL_FACT,FAC-000066,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000067,TECHNICAL_FACT,FAC-000067,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000068,TECHNICAL_FACT,FAC-000068,SRC-000017,EV3 technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000069,TECHNICAL_FACT,FAC-000069,SRC-000017,battery/charging table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000070,TECHNICAL_FACT,FAC-000070,SRC-000017,battery/charging table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000071,TECHNICAL_FACT,FAC-000071,SRC-000019,technical specifications,MANUAL,UNVERIFIED,PARTIAL,,ChatGPT/web research,Exact CFG mapping pending.
AST-000072,TECHNICAL_FACT,FAC-000072,SRC-000008,product highlights,MANUAL,UNVERIFIED,PARTIAL,,ChatGPT/web research,
AST-000073,TECHNICAL_FACT,FAC-000073,SRC-000019,technical specifications,MANUAL,UNVERIFIED,PARTIAL,,ChatGPT/web research,Do not merge with 523 km until identity is resolved.
AST-000074,TECHNICAL_FACT,FAC-000074,SRC-000019,technical specifications,MANUAL,UNVERIFIED,PARTIAL,,ChatGPT/web research,
AST-000075,TECHNICAL_FACT,FAC-000075,SRC-000008,product highlights,MANUAL,UNVERIFIED,PARTIAL,,ChatGPT/web research,
AST-000076,TECHNICAL_FACT,FAC-000076,SRC-000019,technical specifications,MANUAL,UNVERIFIED,PARTIAL,,ChatGPT/web research,Official-source discrepancy preserved.
AST-000077,TECHNICAL_FACT,FAC-000077,SRC-000020,comparison technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000078,TECHNICAL_FACT,FAC-000078,SRC-000020,comparison technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000079,TECHNICAL_FACT,FAC-000079,SRC-000020,comparison technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000080,TECHNICAL_FACT,FAC-000080,SRC-000020,comparison technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000081,TECHNICAL_FACT,FAC-000081,SRC-000020,comparison technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000082,TECHNICAL_FACT,FAC-000082,SRC-000020,comparison technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000083,TECHNICAL_FACT,FAC-000083,SRC-000020,comparison technical table,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000084,TECHNICAL_FACT,FAC-000084,SRC-000009,cargo section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000085,EQUIPMENT_FACT,EQP-000001,SRC-000011,equipment section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000086,EQUIPMENT_FACT,EQP-000002,SRC-000011,equipment section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000087,EQUIPMENT_FACT,EQP-000003,SRC-000011,equipment section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000088,EQUIPMENT_FACT,EQP-000004,SRC-000011,equipment section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000089,EQUIPMENT_FACT,EQP-000005,SRC-000011,equipment section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000090,EQUIPMENT_FACT,EQP-000006,SRC-000011,equipment section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000091,EQUIPMENT_FACT,EQP-000007,SRC-000011,equipment section,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000092,EQUIPMENT_FACT,EQP-000008,SRC-000011,equipment section,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000093,EQUIPMENT_FACT,EQP-000009,SRC-000011,equipment section,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000094,EQUIPMENT_FACT,EQP-000010,SRC-000011,equipment section,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000095,EQUIPMENT_FACT,EQP-000011,SRC-000011,equipment section,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000096,EQUIPMENT_FACT,EQP-000012,SRC-000011,equipment section,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000097,EQUIPMENT_FACT,EQP-000013,SRC-000012,Easy equipment list,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000098,EQUIPMENT_FACT,EQP-000014,SRC-000012,Easy equipment list,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000099,EQUIPMENT_FACT,EQP-000015,SRC-000012,Easy equipment list,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000100,EQUIPMENT_FACT,EQP-000016,SRC-000012,Easy equipment list,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000101,EQUIPMENT_FACT,EQP-000017,SRC-000012,version lists,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Unlisted on Easy is not proof of NOT_AVAILABLE.
AST-000102,EQUIPMENT_FACT,EQP-000018,SRC-000012,version lists,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Unlisted on Easy is not proof of NOT_AVAILABLE.
AST-000103,EQUIPMENT_FACT,EQP-000019,SRC-000012,version lists,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Unlisted on Easy is not proof of NOT_AVAILABLE.
AST-000104,EQUIPMENT_FACT,EQP-000020,SRC-000012,version lists,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Unlisted on Easy is not proof of NOT_AVAILABLE.
AST-000105,EQUIPMENT_FACT,EQP-000021,SRC-000012,version lists,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Unlisted on Easy is not proof of NOT_AVAILABLE.
AST-000106,EQUIPMENT_FACT,EQP-000022,SRC-000013,equipment p.3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000107,EQUIPMENT_FACT,EQP-000023,SRC-000013,equipment p.3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000108,EQUIPMENT_FACT,EQP-000024,SRC-000013,equipment p.3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000109,EQUIPMENT_FACT,EQP-000025,SRC-000013,P0 page subset,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not resolved in this pass.
AST-000110,EQUIPMENT_FACT,EQP-000026,SRC-000013,P0 page subset,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not resolved in this pass.
AST-000111,EQUIPMENT_FACT,EQP-000027,SRC-000013,P0 page subset,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not resolved in this pass.
AST-000112,EQUIPMENT_FACT,EQP-000028,SRC-000013,P0 page subset,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not resolved in this pass.
AST-000113,EQUIPMENT_FACT,EQP-000029,SRC-000013,P0 page subset,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not resolved in this pass.
AST-000114,EQUIPMENT_FACT,EQP-000030,SRC-000013,P0 page subset,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not resolved in this pass.
AST-000115,EQUIPMENT_FACT,EQP-000031,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000116,EQUIPMENT_FACT,EQP-000032,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000117,EQUIPMENT_FACT,EQP-000033,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000118,EQUIPMENT_FACT,EQP-000034,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000119,EQUIPMENT_FACT,EQP-000035,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000120,EQUIPMENT_FACT,EQP-000036,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000121,EQUIPMENT_FACT,EQP-000037,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000122,EQUIPMENT_FACT,EQP-000038,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,Official table shows rear-only sensors.
AST-000123,EQUIPMENT_FACT,EQP-000039,SRC-000004,GL Elegance column,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,Official table marks heated seats absent.
AST-000124,EQUIPMENT_FACT,EQP-000040,SRC-000004,equipment table,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Terminology/applicability unresolved.
AST-000125,EQUIPMENT_FACT,EQP-000041,SRC-000004,equipment table,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Terminology/applicability unresolved.
AST-000126,EQUIPMENT_FACT,EQP-000042,SRC-000004,equipment table,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Terminology/applicability unresolved.
AST-000127,EQUIPMENT_FACT,EQP-000043,SRC-000004,equipment table,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Terminology/applicability unresolved.
AST-000128,EQUIPMENT_FACT,EQP-000044,SRC-000004,equipment table,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Terminology/applicability unresolved.
AST-000129,EQUIPMENT_FACT,EQP-000045,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000130,EQUIPMENT_FACT,EQP-000046,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000131,EQUIPMENT_FACT,EQP-000047,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000132,EQUIPMENT_FACT,EQP-000048,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000133,EQUIPMENT_FACT,EQP-000049,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000134,EQUIPMENT_FACT,EQP-000050,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000135,EQUIPMENT_FACT,EQP-000051,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000136,EQUIPMENT_FACT,EQP-000052,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000137,EQUIPMENT_FACT,EQP-000053,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000138,EQUIPMENT_FACT,EQP-000054,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000139,EQUIPMENT_FACT,EQP-000055,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000140,EQUIPMENT_FACT,EQP-000056,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000141,EQUIPMENT_FACT,EQP-000057,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000142,EQUIPMENT_FACT,EQP-000058,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000143,EQUIPMENT_FACT,EQP-000059,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000144,EQUIPMENT_FACT,EQP-000060,SRC-000015,equipment p.1–3,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000145,EQUIPMENT_FACT,EQP-000061,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000146,EQUIPMENT_FACT,EQP-000062,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000147,EQUIPMENT_FACT,EQP-000063,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000148,EQUIPMENT_FACT,EQP-000064,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000149,EQUIPMENT_FACT,EQP-000065,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000150,EQUIPMENT_FACT,EQP-000066,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000151,EQUIPMENT_FACT,EQP-000067,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000152,EQUIPMENT_FACT,EQP-000068,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000153,EQUIPMENT_FACT,EQP-000069,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000154,EQUIPMENT_FACT,EQP-000070,SRC-000016,Prestige trim hierarchy,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000155,EQUIPMENT_FACT,EQP-000071,SRC-000016,feature page,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000156,EQUIPMENT_FACT,EQP-000072,SRC-000016,feature page,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000157,EQUIPMENT_FACT,EQP-000073,SRC-000016,feature page,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000158,EQUIPMENT_FACT,EQP-000074,SRC-000016,feature page,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Not explicitly resolved in this pass.
AST-000159,EQUIPMENT_FACT,EQP-000075,SRC-000008,unresolved trim,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Configuration identity unresolved.
AST-000160,EQUIPMENT_FACT,EQP-000076,SRC-000008,unresolved trim,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Configuration identity unresolved.
AST-000161,EQUIPMENT_FACT,EQP-000077,SRC-000008,unresolved trim,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Configuration identity unresolved.
AST-000162,EQUIPMENT_FACT,EQP-000078,SRC-000008,unresolved trim,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Configuration identity unresolved.
AST-000163,EQUIPMENT_FACT,EQP-000079,SRC-000008,unresolved trim,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Configuration identity unresolved.
AST-000164,EQUIPMENT_FACT,EQP-000080,SRC-000008,unresolved trim,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Configuration identity unresolved.
AST-000165,EQUIPMENT_FACT,EQP-000081,SRC-000008,unresolved trim,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Configuration identity unresolved.
AST-000166,EQUIPMENT_FACT,EQP-000082,SRC-000021,Expression configurator,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000167,EQUIPMENT_FACT,EQP-000083,SRC-000021,Expression configurator,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000168,EQUIPMENT_FACT,EQP-000084,SRC-000021,Expression configurator,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000169,EQUIPMENT_FACT,EQP-000085,SRC-000021,Expression configurator,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000170,EQUIPMENT_FACT,EQP-000086,SRC-000021,Expression configurator,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000171,EQUIPMENT_FACT,EQP-000087,SRC-000021,Expression configurator,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000172,EQUIPMENT_FACT,EQP-000088,SRC-000021,Expression configurator,MANUAL,VERIFIED,EXACT,46248,ChatGPT/web research,
AST-000173,EQUIPMENT_FACT,EQP-000089,SRC-000021,Expression configurator,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Basic cruise is not mapped to adaptive; remaining items unresolved.
AST-000174,EQUIPMENT_FACT,EQP-000090,SRC-000021,Expression configurator,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Basic cruise is not mapped to adaptive; remaining items unresolved.
AST-000175,EQUIPMENT_FACT,EQP-000091,SRC-000021,Expression configurator,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Basic cruise is not mapped to adaptive; remaining items unresolved.
AST-000176,EQUIPMENT_FACT,EQP-000092,SRC-000021,Expression configurator,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Basic cruise is not mapped to adaptive; remaining items unresolved.
AST-000177,EQUIPMENT_FACT,EQP-000093,SRC-000021,Expression configurator,MANUAL,UNVERIFIED,UNCERTAIN,,ChatGPT/web research,Basic cruise is not mapped to adaptive; remaining items unresolved.
AST-000178,TECHNICAL_FACT,FAC-000085,SRC-000026,engine_displacement_cc,MANUAL,VERIFIED,EXACT,46248,Codex/web research,SCALE_BATCH_01 reviewer gate; official Turkey source.
AST-000179,TECHNICAL_FACT,FAC-000086,SRC-000026,power_kw,MANUAL,VERIFIED,EXACT,46248,Codex/web research,SCALE_BATCH_01 reviewer gate; official Turkey source.
