decision,categoryId,brand,exactModel,originSegment,asin,canonicalAmazonUrl,currentAvailability,volatilePrice,seller,fulfillment,retrievedAt,manufacturerUrl,turkiyeApplicability,categoryIdentity,confidence,blockerOrReason
"PENDING_EXACT_MANUFACTURER_TURKIYE_EVIDENCE","AIR_PURIFIER","","H13 HEPA Filtreli Hava Temizleyici","","B0FVXMCMC3","https://www.amazon.com.tr/dp/B0FVXMCMC3","ACTIVE_SEARCH_CARD","1.426,45 TL","","","2026-09-05T01:03:58.425Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","No manufacturer or exact model identity was exposed."
"CATALOG_CANDIDATE_READY","BLENDER","Electrolux","E4TB1-6ST","IMPORTED_OR_GLOBAL_BRAND","B092MWBSF9","https://www.amazon.com.tr/dp/B092MWBSF9","ACTIVE_SEARCH_CARD_WITH_PRICE","3.090,00 TL","","","2026-09-05T01:03:59.938Z","https://www.electrolux.com.tr/kitchen/small-kitchen-appliances/table-blenders/table-blender/e4tb1-6st/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","BLENDER","Arzum","AR1147 Shake'N Take Neo","DOMESTIC_TURKIYE_ROOTED_BRAND","B0CJJYY61L","https://www.amazon.com.tr/dp/B0CJJYY61L","ACTIVE_SEARCH_CARD_WITH_PRICE","2.589,00 TL","","","2026-09-05T01:03:59.938Z","https://destek.arzum.com.tr/manuals/arzum-shaken-take-neo-kisisel-blender-ar1147-b.pdf","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","BLENDER","Philips","HR3031/00","IMPORTED_OR_GLOBAL_BRAND","B0CX23H3G6","https://www.amazon.com.tr/dp/B0CX23H3G6","ACTIVE_SEARCH_CARD_WITH_PRICE","7.051,09 TL","","","2026-09-05T01:03:59.938Z","https://www.philips.com.tr/c-p/HR3031_00/5000-series-hr3020-grey","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","BLENDER","Homend","Mixfresh 7026H","DOMESTIC_TURKIYE_ROOTED_BRAND","B0GP19HRMZ","https://www.amazon.com.tr/dp/B0GP19HRMZ","ACTIVE_SEARCH_CARD_WITH_PRICE","1.360,66 TL","","","2026-09-05T01:03:59.938Z","https://www.homend.com.tr/urun/homend-mixfresh-7026h-kisisel-smoothie-blender-antrasit-siyah","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"REJECTED_WRONG_CATEGORY","BLENDER","","Philips HR2695/01 El Blender","","B0D1KVD99N","https://www.amazon.com.tr/dp/B0D1KVD99N","ACTIVE_SEARCH_CARD","3.695,00 TL","","","2026-09-05T01:03:59.938Z","","NOT_PROVEN_OR_NOT_APPLICABLE","REJECTED","","Hand blender/set identity is outside the countertop jug/personal blender category boundary."
"CATALOG_CANDIDATE_READY","BUILT_IN_MICROWAVE_OVEN","Franke","FSL 20 MW XS / 131.0632.992","IMPORTED_OR_GLOBAL_BRAND","B0BW647X95","https://www.amazon.com.tr/dp/B0BW647X95","ACTIVE_SEARCH_CARD_WITH_PRICE","20.888,00 TL","","","2026-09-05T01:04:01.151Z","https://www.franke.com/tr/tr/home-solutions/urunler/filtreli-armaturler/product-detail-page.html/131.0632.992.html","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"REJECTED_UNAVAILABLE","BUILT_IN_MICROWAVE_OVEN","","Bosch BFL520MS0 Ankastre Mikrodalga","","B07BYDGZYK","https://www.amazon.com.tr/dp/B07BYDGZYK","UNAVAILABLE_SEARCH_CARD","","","","2026-09-05T01:04:01.151Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","Exact product card was present but no current offer was visible."
"REJECTED_WRONG_CATEGORY","BUILT_IN_MICROWAVE_OVEN","","Samsung MS23DG4504GTTR Solo Mikrodalga","","B0DRSJ6G7J","https://www.amazon.com.tr/dp/B0DRSJ6G7J","ACTIVE_SEARCH_CARD","5.979,08 TL","","","2026-09-05T01:04:01.151Z","","NOT_PROVEN_OR_NOT_APPLICABLE","REJECTED","","Manufacturer and Amazon identify a solo/countertop microwave, not built-in."
"CATALOG_CANDIDATE_READY","BUILT_IN_OVEN","Samsung","NV60K3110BS/TR","IMPORTED_OR_GLOBAL_BRAND","B07F3WMGMF","https://www.amazon.com.tr/dp/B07F3WMGMF","ACTIVE_SEARCH_CARD_WITH_PRICE","16.999,00 TL","","","2026-09-05T01:04:07.529Z","https://www.samsung.com/tr/cooking-appliances/ovens/electric-oven-nv60k3110bs-tr/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","BUILT_IN_OVEN","Franke","FSL 86 H WH / 116.0609.448","IMPORTED_OR_GLOBAL_BRAND","B097F3SKW2","https://www.amazon.com.tr/dp/B097F3SKW2","ACTIVE_SEARCH_CARD_WITH_PRICE","33.765,00 TL","","","2026-09-05T01:04:07.529Z","https://www.franke.com/tr/tr/home-solutions/urunler/bulasik-makineleri/product-detail-page.html/116.0609.448.html","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"PENDING_EXACT_MANUFACTURER_TURKIYE_EVIDENCE","BUILT_IN_OVEN","","Arçelik AFC 121 SR Ankastre Fırın","","B0GTRKRY4Z","https://www.amazon.com.tr/dp/B0GTRKRY4Z","ACTIVE_SEARCH_CARD","12.000,00 TL","","","2026-09-05T01:04:07.529Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","Exact manufacturer model corroboration was not located during the bounded pass."
"REJECTED_WRONG_CATEGORY","BUILT_IN_OVEN","","Altus ALA 137 W fırın komütatörü","","B0DYVQ5H6M","https://www.amazon.com.tr/dp/B0DYVQ5H6M","ACTIVE_SEARCH_CARD","1.228,00 TL","","","2026-09-05T01:04:07.529Z","","NOT_PROVEN_OR_NOT_APPLICABLE","REJECTED","","Spare part, not an oven."
"CATALOG_CANDIDATE_READY","COUNTERTOP_MICROWAVE_OVEN","Samsung","MS23DG4504GTTR","IMPORTED_OR_GLOBAL_BRAND","B0DRSJ6G7J","https://www.amazon.com.tr/dp/B0DRSJ6G7J","ACTIVE_SEARCH_CARD_WITH_PRICE","5.979,08 TL","","","2026-09-05T01:04:08.853Z","https://www.samsung.com/tr/microwave-ovens/solo/mw4000d-solo-mwo-fry-bread-defrost-seamless-and-recessed-handle-design-ms23dg4504gttr/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","COUNTERTOP_MICROWAVE_OVEN","Kumtel","HMIN-02 Smartwave","DOMESTIC_TURKIYE_ROOTED_BRAND","B0DYFCMX79","https://www.amazon.com.tr/dp/B0DYFCMX79","ACTIVE_SEARCH_CARD_WITH_PRICE","3.529,00 TL","","","2026-09-05T01:04:08.853Z","https://www.kumtel.com/kumtel-siyah-smartwave-dijital-inverter-mikrodalga-hmin-02-559","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","COUNTERTOP_MICROWAVE_OVEN","Arçelik","MD 201 G","DOMESTIC_TURKIYE_ROOTED_BRAND","B0G5PSF9JN","https://www.amazon.com.tr/dp/B0G5PSF9JN","ACTIVE_SEARCH_CARD_WITH_PRICE","5.899,00 TL","","","2026-09-05T01:04:08.853Z","https://www.arcelik.com.tr/mikrodalga-firin/md-201-g-mikrodalga-firin","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","COUNTERTOP_MICROWAVE_OVEN","Arçelik","MD 211 DS","DOMESTIC_TURKIYE_ROOTED_BRAND","B0G5PTBGWC","https://www.amazon.com.tr/dp/B0G5PTBGWC","ACTIVE_SEARCH_CARD_WITH_PRICE","7.988,15 TL","","","2026-09-05T01:04:08.853Z","https://www.arcelik.com.tr/mikrodalga-firin/md-211-ds-mikrodalga-firin","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"REJECTED_UNAVAILABLE","COUNTERTOP_MICROWAVE_OVEN","","Samsung MS23DG4504ATTR Mikrodalga","","B0DLL48F95","https://www.amazon.com.tr/dp/B0DLL48F95","UNAVAILABLE_SEARCH_CARD","","","","2026-09-05T01:04:08.853Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","Exact product card was present but no current offer was visible."
"CATALOG_CANDIDATE_READY","DISHWASHER","Samsung","DW60M5062FS/TR","IMPORTED_OR_GLOBAL_BRAND","B07P9FNJHC","https://www.amazon.com.tr/dp/B07P9FNJHC","ACTIVE_SEARCH_CARD_WITH_PRICE","34.990,00 TL","","","2026-09-05T01:04:10.169Z","https://www.samsung.com/tr/support/model/DW60M5062FS/TR/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","DISHWASHER","Teka","DFI 46700 TTM","IMPORTED_OR_GLOBAL_BRAND","B08JMF53MQ","https://www.amazon.com.tr/dp/B08JMF53MQ","ACTIVE_SEARCH_CARD_WITH_PRICE","23.500,00 TL","","","2026-09-05T01:04:10.169Z","https://www.teka.com/tr-tr/wp-content/uploads/sites/16/2022/08/TK-116-KATALOG-2021-sikis%CC%A7tirildi.pdf","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","DISHWASHER","Arçelik","A 710 I","DOMESTIC_TURKIYE_ROOTED_BRAND","B0GR5WR3F8","https://www.amazon.com.tr/dp/B0GR5WR3F8","ACTIVE_SEARCH_CARD_WITH_PRICE","24.799,00 TL","","","2026-09-05T01:04:10.169Z","https://www.arcelik.com.tr/prestige-serisi-solo-bulasik-makinesi/a-710-i-bulasik-makinesi","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","DISHWASHER","Arçelik","Diamond A 811 I","DOMESTIC_TURKIYE_ROOTED_BRAND","B0H8K13BL6","https://www.amazon.com.tr/dp/B0H8K13BL6","ACTIVE_SEARCH_CARD_WITH_PRICE","32.000,00 TL","","","2026-09-05T01:04:10.169Z","https://www.arcelik.com.tr/diamond-serisi-solo-bulasik-makinesi/a-811-i-bulasik-makinesi","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"PENDING_EXACT_CONFIGURATION_IDENTITY","DISHWASHER","","Vestel BM4212 WIFI Bulaşık Makinesi","","B0CMCNDT2J","https://www.amazon.com.tr/dp/B0CMCNDT2J","ACTIVE_SEARCH_CARD","","","","2026-09-05T01:04:10.169Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","Manufacturer materials exposed BM4212 S/X/MS WIFI variants, but the unsuffixed Amazon identity did not resolve to one exact configuration."
"CATALOG_CANDIDATE_READY","DRYER","Samsung","DV10DG54A0ABAH","IMPORTED_OR_GLOBAL_BRAND","B0FWKLV2BJ","https://www.amazon.com.tr/dp/B0FWKLV2BJ","ACTIVE_SEARCH_CARD_WITH_PRICE","37.199,00 TL","","","2026-09-05T01:04:18.875Z","https://www.samsung.com/tr/washers-and-dryers/dryers/dv5000d-dryer-space-max-hygiene-care-smartthings-ai-energy-mode-10kg-black-dv10dg54a0abah/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","DRYER","Hoover","HRE H11A2TBE-17","IMPORTED_OR_GLOBAL_BRAND","B0FWV9819Q","https://www.amazon.com.tr/dp/B0FWV9819Q","ACTIVE_SEARCH_CARD_WITH_PRICE","19.499,00 TL","","","2026-09-05T01:04:18.875Z","https://www.hoover-home.com/tr_TR/kurutma-makineleri/31102852/hre-h11a2tbe-17/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","DRYER","Arçelik","1201 KMX","DOMESTIC_TURKIYE_ROOTED_BRAND","B0GDTP7XLW","https://www.amazon.com.tr/dp/B0GDTP7XLW","ACTIVE_SEARCH_CARD_WITH_PRICE","39.000,00 TL","","","2026-09-05T01:04:18.875Z","https://www.arcelik.com.tr/12-kg-kurutma-makinesi/1201-kmx-kurutma-makinesi","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","DRYER","Hoover","NR EH11N2TBEX-17","IMPORTED_OR_GLOBAL_BRAND","B0HC45HBGP","https://www.amazon.com.tr/dp/B0HC45HBGP","ACTIVE_SEARCH_CARD_WITH_PRICE","21.399,00 TL","","","2026-09-05T01:04:18.875Z","https://www.hoover-home.com/tr_TR/kurutma-makineleri/31103113/nr-eh11n2tbex-17/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"REJECTED_UNAVAILABLE","DRYER","","Samsung DV90DG6845LEAH Kurutma Makinesi","","B0FWKS8ZFW","https://www.amazon.com.tr/dp/B0FWKS8ZFW","UNAVAILABLE_SEARCH_CARD","","","","2026-09-05T01:04:18.875Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","Exact product card was present but no current offer was visible."
"REJECTED_WRONG_CATEGORY","DRYER","","Çamaşır-kurutma makinesi bağlantı istifleme kiti","","B0H8422M56","https://www.amazon.com.tr/dp/B0H8422M56","ACTIVE_SEARCH_CARD","2.880,00 TL","","","2026-09-05T01:04:18.875Z","","NOT_PROVEN_OR_NOT_APPLICABLE","REJECTED","","Accessory, not a dryer."
"CATALOG_CANDIDATE_READY","ELECTRIC_STORAGE_WATER_HEATER","DemirDöküm","DT4 Titanium Digital 65 Lt","DOMESTIC_TURKIYE_ROOTED_BRAND","B0BBBPZMPS","https://www.amazon.com.tr/dp/B0BBBPZMPS","ACTIVE_SEARCH_CARD_WITH_PRICE","19.799,00 TL","","","2026-09-05T01:04:20.402Z","https://www.demirdokum.com.tr/urunler/demirdokum-dt4-titanium-digital-21952.html","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","ELECTRIC_STORAGE_WATER_HEATER","Vestel","TRM 50 MS","DOMESTIC_TURKIYE_ROOTED_BRAND","B0CLH2XBSR","https://www.amazon.com.tr/dp/B0CLH2XBSR","ACTIVE_SEARCH_CARD_WITH_PRICE","13.695,00 TL","","","2026-09-05T01:04:20.402Z","https://www.vestel.com.tr/vestel-trm-50-ms-termosifon-p-2313","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","ELECTRIC_STORAGE_WATER_HEATER","Baymak","Aqua X-LED 65","DOMESTIC_TURKIYE_ROOTED_BRAND","B0FQN244PZ","https://www.amazon.com.tr/dp/B0FQN244PZ","ACTIVE_SEARCH_CARD_WITH_PRICE","13.899,00 TL","","","2026-09-05T01:04:20.402Z","https://www.baymak.com.tr/urunler/su-isiticilari/termosifonlar/baymak-aqua-x-led-prizmatik","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"PENDING_EXACT_MANUFACTURER_TURKIYE_EVIDENCE","ELECTRIC_STORAGE_WATER_HEATER","","Ariston Andris Lux 15 Lt Termosifon","","B0C2VX87RX","https://www.amazon.com.tr/dp/B0C2VX87RX","ACTIVE_SEARCH_CARD","10.980,00 TL","","","2026-09-05T01:04:20.402Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","A global manufacturer model was found, but exact Türkiye technical configuration and manufacturer service/warranty applicability were not proven."
"CATALOG_CANDIDATE_READY","FILTER_COFFEE_MACHINE","Philips","HD7459/20","IMPORTED_OR_GLOBAL_BRAND","B00E385ATG","https://www.amazon.com.tr/dp/B00E385ATG","ACTIVE_SEARCH_CARD_WITH_PRICE","2.526,95 TL","","","2026-09-05T01:04:21.748Z","https://www.philips.com.tr/c-p/HD7459_20/daily-collection-kahve-makinesi","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","FILTER_COFFEE_MACHINE","Homend","Coffeebreak 5006H","DOMESTIC_TURKIYE_ROOTED_BRAND","B07BQ5FR85","https://www.amazon.com.tr/dp/B07BQ5FR85","ACTIVE_SEARCH_CARD_WITH_PRICE","2.499,00 TL","","","2026-09-05T01:04:21.748Z","https://www.homend.com.tr/urun/homend-coffeebreak-5006h-filtre-kahve-makinesi","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","FILTER_COFFEE_MACHINE","Arzum","AR3073 Brewtime Pro","DOMESTIC_TURKIYE_ROOTED_BRAND","B09JG7DB24","https://www.amazon.com.tr/dp/B09JG7DB24","ACTIVE_SEARCH_CARD_WITH_PRICE","3.479,00 TL","","","2026-09-05T01:04:21.748Z","https://destek.arzum.com.tr/manuals/arzum-brewtime-pro-filtre-kahve-makinesi-ar3073.pdf","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","FILTER_COFFEE_MACHINE","Electrolux","E5CM1-6ST","IMPORTED_OR_GLOBAL_BRAND","B0BX9MGW6G","https://www.amazon.com.tr/dp/B0BX9MGW6G","ACTIVE_SEARCH_CARD_WITH_PRICE","4.793,00 TL","","","2026-09-05T01:04:21.748Z","https://www.electrolux.com.tr/kitchen/small-kitchen-appliances/coffee-makers/coffee-maker/e5cm1-6st/","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"PENDING_EXACT_MANUFACTURER_TURKIYE_EVIDENCE","FILTER_COFFEE_MACHINE","","De'Longhi ICM14011 Filtre Kahve Makinesi","","B00EUWJGQ8","https://www.amazon.com.tr/dp/B00EUWJGQ8","ACTIVE_SEARCH_CARD","4.449,00 TL","","","2026-09-05T01:04:21.748Z","","NOT_PROVEN_OR_NOT_APPLICABLE","UNRESOLVED_OR_EXCLUDED","","The exact active Amazon model lacked bounded manufacturer Türkiye support/warranty corroboration."
"CATALOG_CANDIDATE_READY","FOOD_PROCESSOR","Karaca","Mastermaid Power Multifunctional 10 in 1 Galaxy Grey","DOMESTIC_TURKIYE_ROOTED_BRAND","B09GKD8QFK","https://www.amazon.com.tr/dp/B09GKD8QFK","ACTIVE_SEARCH_CARD_WITH_PRICE","3.999,00 TL","","","2026-09-05T01:04:23.253Z","https://www.karaca.com/urun/karaca-mastermaid-power-multifunctional-10-in-1-galaxy-grey-gida-hazirlama-seti-2000w","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
"CATALOG_CANDIDATE_READY","FOOD_PROCESSOR","Homend","Functionall 2843H","DOMESTIC_TURKIYE_ROOTED_BRAND","B0CV19CNLW","https://www.amazon.com.tr/dp/B0CV19CNLW","ACTIVE_SEARCH_CARD_WITH_PRICE","1.899,00 TL","","","2026-09-05T01:04:23.253Z","https://www.homend.com.tr/urun/homend-functionall-2843h-mutfak-robotu-antrasit","PROVEN_BY_EXACT_MANUFACTURER_TURKIYE_SURFACE_AND_AMAZON_TR_IDENTITY","EXACT_CATEGORY_IDENTITY_CONFIRMED","HIGH",""
