productId,categoryId,brand,model,status,asin,observedAmazonUrl,retrievedAt,confidence,searchResultCount
"ARCELIK_AFC_120_S_TR","BUILT_IN_OVEN","Arçelik","AFC 120 S","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B0DW9DNXDC","https://www.amazon.com.tr/dp/B0DW9DNXDC","2026-09-05T00:40:01.221Z","HIGH",2
"BEKO_BFC_221_HB_TR","BUILT_IN_OVEN","Beko","BFC 221 HB","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BOSCH_HBF534ES3T_TR","BUILT_IN_OVEN","Bosch","HBF534ES3T","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",48
"ARCELIK_MD20K_VINTAGE_TR","COUNTERTOP_MICROWAVE_OVEN","Arçelik","MD 20 K Vintage","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",3
"BEKO_BMD200G_TR","COUNTERTOP_MICROWAVE_OVEN","Beko","BMD 200 G","AMBIGUOUS_OR_FAMILY_ONLY","B0DZ2W143H","https://www.amazon.com.tr/dp/B0DZ2W143H","2026-09-05T00:39:27.147Z","HIGH",3
"SIEMENS_FF023LMS1_TR","COUNTERTOP_MICROWAVE_OVEN","Siemens","FF023LMS1","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BEKO_BM4044_TR","DISHWASHER","Beko","BM 4044","AMBIGUOUS_OR_FAMILY_ONLY","B0DZ2FCZ1H","https://www.amazon.com.tr/dp/B0DZ2FCZ1H","2026-09-05T00:39:27.147Z","HIGH",8
"BOSCH_SMS4IKI62T_TR","DISHWASHER","Bosch","SMS4IKI62T","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"SAMSUNG_DW60DG560FWQTR","DISHWASHER","Samsung","DW60DG560FWQTR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"SIEMENS_SN25EI63MT_TR","DISHWASHER","Siemens","SN25EI63MT","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BEKO_KM_99_TR","DRYER","Beko","KM 99","AMBIGUOUS_OR_FAMILY_ONLY","B0DYVQJ69G","https://www.amazon.com.tr/dp/B0DYVQJ69G","2026-09-05T00:39:27.147Z","HIGH",1
"BEKO_KMX_82_TR","DRYER","Beko","KMX 82","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BOSCH_WQG24100TR","DRYER","Bosch","WQG24100TR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",1
"ARCELIK_T7365_ECO_TR","ELECTRIC_STORAGE_WATER_HEATER","Arçelik","T 7365 ECO","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BAYMAK_XLS65_TR","ELECTRIC_STORAGE_WATER_HEATER","Baymak","Aqua X-Konfor X-LS 65","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BEKO_BKT650_B_TR","ELECTRIC_STORAGE_WATER_HEATER","Beko","BKT 650 B","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"ARCELIK_CM3940P_TR","FILTER_COFFEE_MACHINE","Arçelik","CM 3940 P","AMBIGUOUS_OR_FAMILY_ONLY","B0DKJXLZSB","https://www.amazon.com.tr/dp/B0DKJXLZSB","2026-09-05T00:39:27.147Z","HIGH",2
"BOSCH_TKA6A041_TR","FILTER_COFFEE_MACHINE","Bosch","ComfortLine TKA6A041","AMBIGUOUS_OR_FAMILY_ONLY","B07C7SN9N4","https://www.amazon.com.tr/dp/B07C7SN9N4","2026-09-05T00:39:27.147Z","HIGH",5
"PHILIPS_HD7462_20_TR","FILTER_COFFEE_MACHINE","Philips","Daily Collection HD7462/20","EXACT_ACTIVE_LISTING_CONFIRMED","B00R04CAWA","https://www.amazon.com.tr/dp/B00R04CAWA","2026-09-05T00:40:01.322Z","HIGH",11
"BOSCH_MCM3501M_TR","FOOD_PROCESSOR","Bosch","MultiTalent 3 MCM3501M","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B015DR863C","https://www.amazon.com.tr/dp/B015DR863C","2026-09-05T00:40:01.262Z","HIGH",11
"KENWOOD_FDP65_450WH_TR","FOOD_PROCESSOR","Kenwood","MultiPro Express FDP65.450WH","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",7
"PHILIPS_HR7778_00_TR","FOOD_PROCESSOR","Philips","7000 Series HR7778/00","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",2
"ARCELIK_8315_TR","FREESTANDING_COOKER","Arçelik","8315","AMBIGUOUS_OR_FAMILY_ONLY","B0DZ2WN9ZZ","https://www.amazon.com.tr/dp/B0DZ2WN9ZZ","2026-09-05T00:39:27.147Z","HIGH",3
"BEKO_FE_411_TR","FREESTANDING_COOKER","Beko","FE 411","AMBIGUOUS_OR_FAMILY_ONLY","B0DZ2X1BMS","https://www.amazon.com.tr/dp/B0DZ2X1BMS","2026-09-05T00:39:27.147Z","HIGH",3
"BOSCH_HXR390H21T_TR","FREESTANDING_COOKER","Bosch","HXR390H21T","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",48
"ARCELIK_2071_NFB_TR","FREEZER","Arçelik","2071 NFB","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",1
"ARCELIK_2682_NFB_TR","FREEZER","Arçelik","2682 NFB","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B0GTTVYYXV","https://www.amazon.com.tr/dp/B0GTTVYYXV","2026-09-05T00:40:01.220Z","HIGH",4
"BOSCH_GSN33VWE0N_TR","FREEZER","Bosch","GSN33VWE0N","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"DELONGHI_ECAM220_22_GB_TR","FULLY_AUTOMATIC_ESPRESSO_MACHINE","De'Longhi","Magnifica Start ECAM220.22.GB","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B0BHMNHHM7","https://www.amazon.com.tr/dp/B0BHMNHHM7","2026-09-05T00:40:03.058Z","HIGH",8
"PHILIPS_EP2220_10_TR","FULLY_AUTOMATIC_ESPRESSO_MACHINE","Philips","Series 2200 EP2220/10","EXACT_ACTIVE_LISTING_CONFIRMED","B07MMSHC4R","https://www.amazon.com.tr/dp/B07MMSHC4R","2026-09-05T00:40:03.551Z","HIGH",12
"SIEMENS_TP511R09_TR","FULLY_AUTOMATIC_ESPRESSO_MACHINE","Siemens","EQ.500 classic TP511R09","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",1
"ARCELIK_OI_602_1_YS_TR","HOB","Arçelik","OI 602-1 YS","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BEKO_BOI_6021_YS_TR","HOB","Beko","BOI 6021 YS","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BOSCH_PUE611BB5E_TR","HOB","Bosch","PUE611BB5E","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",48
"ARCELIK_E7526_ASI_TR","INSTANTANEOUS_ELECTRIC_WATER_HEATER","Arçelik","E 7526 ASİ","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"ARNICA_EG54030_HAMMAM_TR","INSTANTANEOUS_ELECTRIC_WATER_HEATER","Arnica","EG54030 Hammam","EXACT_ACTIVE_LISTING_CONFIRMED","B07CJYPSRW","https://www.amazon.com.tr/dp/B07CJYPSRW","2026-09-05T00:40:03.262Z","HIGH",1
"ARZUM_AR012_LAGUNA_TR","INSTANTANEOUS_ELECTRIC_WATER_HEATER","Arzum","AR 012 Laguna","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B079997CZQ","https://www.amazon.com.tr/dp/B079997CZQ","2026-09-05T00:40:03.019Z","HIGH",1
"DELONGHI_EC685_M_TR","MANUAL_ESPRESSO_MACHINE","De'Longhi","Dedica Style EC685.M","EXACT_ACTIVE_LISTING_CONFIRMED","B0915K949D","https://www.amazon.com.tr/dp/B0915K949D","2026-09-05T00:40:05.394Z","HIGH",8
"PHILIPS_PSA3228_01_TR","MANUAL_ESPRESSO_MACHINE","Philips","Barista Brew PSA3228/01","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",2
"SMEG_ECF02CREU_TR","MANUAL_ESPRESSO_MACHINE","Smeg","ECF02CREU","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B0BYMSXD2L","https://www.amazon.com.tr/dp/B0BYMSXD2L","2026-09-05T00:40:05.581Z","HIGH",14
"ARCELIK_ADE_6041_B1_TR","RANGE_HOOD","Arçelik","ADE 6041 B1","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B0GTRKTB5R","https://www.amazon.com.tr/dp/B0GTRKTB5R","2026-09-05T00:40:05.283Z","HIGH",1
"ARCELIK_P_18_YCB_TR","RANGE_HOOD","Arçelik","P 18 YCB","AMBIGUOUS_OR_FAMILY_ONLY","B0CQHB8RD5","https://www.amazon.com.tr/dp/B0CQHB8RD5","2026-09-05T00:39:27.147Z","HIGH",1
"BOSCH_DWP64CC50T_TR","RANGE_HOOD","Bosch","DWP64CC50T","AMBIGUOUS_OR_FAMILY_ONLY","B0GQV346VF","https://www.amazon.com.tr/dp/B0GQV346VF","2026-09-05T00:39:27.147Z","HIGH",48
"BOSCH_KGN55CIE0N_TR","REFRIGERATOR","Bosch","KGN55CIE0N","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"LG_GC_B569NLLM_TR","REFRIGERATOR","LG","GC-B569NLLM","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"SAMSUNG_RB34C6B0E12_TR","REFRIGERATOR","Samsung","RB34C6B0E12/TR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"SIEMENS_KG56NVWD0N_TR","REFRIGERATOR","Siemens","KG56NVWD0N","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BOSCH_BCRC2W_TR","ROBOT_VACUUM","Bosch","BCRC2W","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B0G1SYVR81","https://www.amazon.com.tr/dp/B0G1SYVR81","2026-09-05T00:40:05.413Z","HIGH",48
"SAMSUNG_VR3MB77312K_TR","ROBOT_VACUUM","Samsung","VR3MB77312K/TR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"XIAOMI_H40_OV51_TR","ROBOT_VACUUM","Xiaomi","Robot Vacuum H40 / OV51","AMBIGUOUS_OR_FAMILY_ONLY","B0F4JZNGT8","https://www.amazon.com.tr/dp/B0F4JZNGT8","2026-09-05T00:39:27.147Z","MEDIUM",48
"XIAOMI_X20_PRO_TR","ROBOT_VACUUM","Xiaomi","Robot Vacuum X20 Pro","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B0DFJGKW2L","https://www.amazon.com.tr/dp/B0DFJGKW2L","2026-09-05T00:40:07.477Z","HIGH",59
"BOSCH_CL2000U_W_26_E__CL2000_26_E_TR","SPLIT_AIR_CONDITIONER","Bosch","CL2000U W 26 E + CL2000 26 E","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"BOSCH_CL3000IU_W_35_E__CL3000I_35_E_TR","SPLIT_AIR_CONDITIONER","Bosch","CL3000iU W 35 E + CL3000i 35 E","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"TOSHIBA_RAS_B24B2KV2G_TR__RAS_24B2AV2G_TR","SPLIT_AIR_CONDITIONER","Toshiba","RAS-B24B2KV2G-TR + RAS-24B2AV2G-TR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"ARCELIK_K3300_TFF_TR","TURKISH_COFFEE_MACHINE","Arçelik","K 3300 TFF","EXACT_ACTIVE_LISTING_CONFIRMED","B0H95F4NSS","https://www.amazon.com.tr/dp/B0H95F4NSS","2026-09-05T00:40:07.386Z","HIGH",3
"ARZUM_OK004_0400_TR","TURKISH_COFFEE_MACHINE","Arzum","OKKA Minio OK004-0400","AMBIGUOUS_OR_FAMILY_ONLY","B01N0Y6D8Z","https://www.amazon.com.tr/dp/B01N0Y6D8Z","2026-09-05T00:39:27.147Z","MEDIUM",13
"KARACA_HATIR_HUP_TR","TURKISH_COFFEE_MACHINE","Karaca","Hatır Hüp","AMBIGUOUS_OR_FAMILY_ONLY","B0CKWD9J3R","https://www.amazon.com.tr/dp/B0CKWD9J3R","2026-09-05T00:39:27.147Z","MEDIUM",57
"BOSCH_BGC21X300_TR","VACUUM","Bosch","BGC21X300","EXACT_ACTIVE_LISTING_CONFIRMED","B0B7K29T66","https://www.amazon.com.tr/dp/B0B7K29T66","2026-09-05T00:40:07.758Z","HIGH",52
"BOSCH_BGC41PET_TR","VACUUM","Bosch","BGC41PET","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",44
"PHILIPS_FC9330_07_TR","VACUUM","Philips","FC9330/07","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",19
"PHILIPS_FC9750_07_TR","VACUUM","Philips","FC9750/07","AMBIGUOUS_OR_FAMILY_ONLY","B0GYX64WHB","https://www.amazon.com.tr/dp/B0GYX64WHB","2026-09-05T00:39:27.147Z","HIGH",29
"appliances:wm:tr:beko:cmx-10120","WASHING_MACHINE","beko","CMX 10120","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:beko:cmx-11140","WASHING_MACHINE","beko","CMX 11140","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:beko:cmx-8100","WASHING_MACHINE","beko","CMX 8100","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",1
"appliances:wm:tr:beko:cmxt-9120","WASHING_MACHINE","beko","CMXT 9120","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:bosch:wgb244a0tr","WASHING_MACHINE","bosch","WGB244A0TR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",9
"appliances:wm:tr:bosch:wgb254a1tr","WASHING_MACHINE","bosch","WGB254A1TR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",9
"appliances:wm:tr:bosch:wgb254axtr","WASHING_MACHINE","bosch","WGB254AXTR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",9
"appliances:wm:tr:bosch:wgk264y0tr","WASHING_MACHINE","bosch","WGK264Y0TR","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",9
"appliances:wm:tr:electrolux:ew6f3411act","WASHING_MACHINE","electrolux","EW6F3411ACT","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:electrolux:ew6f3494t","WASHING_MACHINE","electrolux","EW6F3494T","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:electrolux:ew7f4404ut","WASHING_MACHINE","electrolux","EW7F4404UT","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:electrolux:ew7f4422ct","WASHING_MACHINE","electrolux","EW7F4422CT","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",1
"appliances:wm:tr:lg:f4r3tyw3we","WASHING_MACHINE","lg","F4R3TYW3WE","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:lg:f4r5vyw2t","WASHING_MACHINE","lg","F4R5VYW2T","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",12
"appliances:wm:tr:lg:f4t2vym1s","WASHING_MACHINE","lg","F4T2VYM1S","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",12
"appliances:wm:tr:lg:f4v5ryp0w","WASHING_MACHINE","lg","F4V5RYP0W","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:lg:f4y5eywyj","WASHING_MACHINE","lg","F4Y5EYWYJ","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:miele:wwa120-wcs-8kg-active","WASHING_MACHINE","miele","WWA120 WCS 8kg Active","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:samsung:ww11db8b95gbah","WASHING_MACHINE","samsung","WW11DB8B95GBAH","EXACT_ACTIVE_LISTING_CONFIRMED","B0DFCHC7FT","https://www.amazon.com.tr/dp/B0DFCHC7FT","2026-09-05T00:40:10.004Z","HIGH",1
"appliances:wm:tr:samsung:ww90cgc04daeah","WASHING_MACHINE","samsung","WW90CGC04DAEAH","EXACT_LISTING_SEEN_CURRENTLY_UNAVAILABLE","B0DDYDP3K6","https://www.amazon.com.tr/dp/B0DDYDP3K6","2026-09-05T00:40:10.065Z","HIGH",1
"appliances:wm:tr:samsung:ww90dg6u25leah","WASHING_MACHINE","samsung","WW90DG6U25LEAH","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:vestel:cmi-108442-wifi","WASHING_MACHINE","vestel","CMI 108442 WIFI","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:vestel:cmi-87402-wifi","WASHING_MACHINE","vestel","CMI 87402 WIFI","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
"appliances:wm:tr:vestel:cmi-99422-wifi","WASHING_MACHINE","vestel","CMI 99422 WIFI","NOT_FOUND","","","2026-09-05T00:39:27.147Z","MEDIUM",0
