fact_id,subject_type,subject_id,fact_key,value_type,value,unit,evidence_state,measurement_context,valid_from_model_year,valid_to_model_year,market,notes,value_min,value_max,range_semantics,source_value_semantics,source_value_raw,soc_start_pct,soc_end_pct,charge_power_context_kw
FAC-000011,CONFIGURATION,CFG-000001,turning_circle_m,NUMBER,10.4,m,VERIFIED,official page labels turning diameter,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000012,POWERTRAIN,PWR-000001,official_fuel_consumption_combined,TEXT,5.0 / 5.1,L/100km,CONFLICTING,Two combined WLTP values on same page,2026,2026,TR,Do not average.,,,MULTIPLE_OFFICIAL_VALUES,OFFICIAL_VALUES_CONFLICT,,,,
FAC-000013,POWERTRAIN,PWR-000002,engine_displacement_cc,NUMBER,1598,cc,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000014,POWERTRAIN,PWR-000002,power_kw,NUMBER,96,kW,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000015,POWERTRAIN,PWR-000002,torque_nm,NUMBER,320,Nm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000016,GENERATION,GEN-000002,length_mm,NUMBER,4532,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000017,GENERATION,GEN-000002,width_mm,NUMBER,1792,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000018,GENERATION,GEN-000002,height_mm,NUMBER,1497,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000019,GENERATION,GEN-000002,cargo_volume_l,NUMBER,520,L,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000020,POWERTRAIN,PWR-000003,power_kw,NUMBER,103,kW,VERIFIED,hybrid system maximum,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000021,POWERTRAIN,PWR-000003,engine_displacement_cc,NUMBER,1798,cc,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000022,GENERATION,GEN-000003,length_mm,NUMBER,4630,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000023,GENERATION,GEN-000003,width_mm,NUMBER,1780,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000024,GENERATION,GEN-000003,height_mm,NUMBER,1435,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000025,GENERATION,GEN-000003,wheelbase_mm,NUMBER,2700,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000026,GENERATION,GEN-000003,cargo_volume_l,NUMBER,471,L,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000027,POWERTRAIN,PWR-000003,fuel_tank_l,NUMBER,43,L,VERIFIED,hybrid,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000028,POWERTRAIN,PWR-000003,official_fuel_consumption_combined,NUMBER,,L/100km,VERIFIED,"WLTP combined, trim-dependent",2026,2026,TR,Pilot reveals need for native numeric range representation.,4.5,4.7,MIN_MAX,EXACT_RANGE,4.5–4.7,,,
FAC-000029,POWERTRAIN,PWR-000004,engine_displacement_cc,NUMBER,1373,cc,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000030,POWERTRAIN,PWR-000004,torque_nm,NUMBER,235,Nm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000031,GENERATION,GEN-000004,length_mm,NUMBER,4185,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000032,GENERATION,GEN-000004,width_mm,NUMBER,1775,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000033,GENERATION,GEN-000004,height_mm,NUMBER,1600,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000034,GENERATION,GEN-000004,wheelbase_mm,NUMBER,2500,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000035,CONFIGURATION,CFG-000004,ground_clearance_mm,NUMBER,175,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000036,GENERATION,GEN-000004,cargo_volume_l,NUMBER,362,L,VERIFIED,rear seats upright,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000037,GENERATION,GEN-000004,cargo_volume_max_l,NUMBER,1119,L,VERIFIED,maximum capacity,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000038,POWERTRAIN,PWR-000004,fuel_tank_l,NUMBER,47,L,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000039,POWERTRAIN,PWR-000004,official_fuel_consumption_combined,NUMBER,5.8,L/100km,VERIFIED,AllGrip 4x4 column,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000040,POWERTRAIN,PWR-000005,engine_displacement_cc,NUMBER,1498,cc,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000041,POWERTRAIN,PWR-000005,power_kw,NUMBER,160,kW,VERIFIED,maximum system power,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000042,POWERTRAIN,PWR-000005,torque_nm,NUMBER,300,Nm,VERIFIED,maximum system torque,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000043,POWERTRAIN,PWR-000005,official_energy_consumption_combined,NUMBER,16.9,kWh/100km,VERIFIED,WLTP,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000044,POWERTRAIN,PWR-000005,official_fuel_consumption_combined,NUMBER,0.7,L/100km,VERIFIED,WLTP weighted combined,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000045,GENERATION,GEN-000005,length_mm,NUMBER,4775,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000046,GENERATION,GEN-000005,width_mm,NUMBER,1890,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000047,GENERATION,GEN-000005,height_mm,NUMBER,1670,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000048,GENERATION,GEN-000005,wheelbase_mm,NUMBER,2765,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000049,CONFIGURATION,CFG-000005,cargo_volume_l,NUMBER,450,L,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000050,CONFIGURATION,CFG-000005,cargo_volume_max_l,NUMBER,1465,L,VERIFIED,"to roof, seats folded",2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000051,CONFIGURATION,CFG-000005,turning_circle_m,NUMBER,11,m,VERIFIED,minimum turning diameter,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000052,POWERTRAIN,PWR-000005,max_ac_charge_kw,NUMBER,11,kW,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000053,POWERTRAIN,PWR-000005,max_dc_charge_kw,NUMBER,18,kW,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000054,POWERTRAIN,PWR-000005,battery_capacity_reported_kwh,NUMBER,18.3,kWh,VERIFIED,gross/usable unspecified,2026,2026,TR,Do not map to usable/gross without explicit semantics.,,,NONE,BATTERY_CAPACITY_UNQUALIFIED,,,,
FAC-000055,POWERTRAIN,PWR-000005,dc_charge_time_min,NUMBER,35,min,VERIFIED,SOC 30–80%; 18 kW DC,2026,2026,TR,,,,NONE,CHARGE_TIME_WITH_SOC_CONTEXT,,30,80,18
FAC-000056,POWERTRAIN,PWR-000006,power_kw,NUMBER,150,kW,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000057,POWERTRAIN,PWR-000006,torque_nm,NUMBER,283,Nm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000058,GENERATION,GEN-000006,length_mm,NUMBER,4300,mm,VERIFIED,Prestige group,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000059,GENERATION,GEN-000006,width_mm,NUMBER,1850,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000060,GENERATION,GEN-000006,height_mm,NUMBER,1560,mm,VERIFIED,Prestige group,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000061,GENERATION,GEN-000006,wheelbase_mm,NUMBER,2680,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000062,CONFIGURATION,CFG-000006,ground_clearance_mm,NUMBER,140,mm,VERIFIED,Prestige group,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000063,CONFIGURATION,CFG-000006,cargo_volume_l,NUMBER,460,L,VERIFIED,seats upright,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000064,CONFIGURATION,CFG-000006,cargo_volume_max_l,NUMBER,1251,L,VERIFIED,seats folded,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000065,CONFIGURATION,CFG-000006,seats,NUMBER,5,count,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000066,CONFIGURATION,CFG-000006,official_electric_range,NUMBER,431,km,VERIFIED,WLTP combined; Prestige,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000067,CONFIGURATION,CFG-000006,official_energy_consumption_combined,NUMBER,15.1,kWh/100km,VERIFIED,WLTP; Prestige,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000068,POWERTRAIN,PWR-000006,max_dc_charge_kw,NUMBER,101,kW,VERIFIED,58.3 kWh battery group,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000069,POWERTRAIN,PWR-000006,battery_capacity_reported_kwh,NUMBER,58.3,kWh,VERIFIED,gross/usable unspecified,2026,2026,TR,,,,NONE,BATTERY_CAPACITY_UNQUALIFIED,,,,
FAC-000070,POWERTRAIN,PWR-000006,dc_charge_time_min,NUMBER,29,min,VERIFIED,SOC 10–80%; 101 kW DC,2026,2026,TR,,,,NONE,CHARGE_TIME_WITH_SOC_CONTEXT,,10,80,101
FAC-000071,POWERTRAIN,PWR-000007,power_kw,NUMBER,160,kW,REPORTED,T10X V2,2026,2026,TR,Exact CFG mapping pending.,,,NONE,EXACT_SCALAR,,,,
FAC-000072,CONFIGURATION,CFG-000007,official_electric_range,NUMBER,523,km,REPORTED,"Product page: up to, Long Range",2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000073,CONFIGURATION,CFG-000007,official_electric_range,NUMBER,610,km,REPORTED,"Media center: V2, combined, 18-inch",2026,2026,TR,Do not merge with 523 km until identity is resolved.,,,NONE,EXACT_SCALAR,,,,
FAC-000074,CONFIGURATION,CFG-000007,cargo_volume_l,NUMBER,505,L,REPORTED,T10X V2,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000075,CONFIGURATION,CFG-000007,dc_charge_time_min,NUMBER,26.5,min,REPORTED,SOC 20–80%; 180 kW DC,2026,2026,TR,,,,NONE,CHARGE_TIME_WITH_SOC_CONTEXT,,20,80,180
FAC-000076,CONFIGURATION,CFG-000007,dc_charge_time_min,NUMBER,28,min,REPORTED,SOC 20–80%; 180 kW DC,2026,2026,TR,Official-source discrepancy preserved.,,,NONE,CHARGE_TIME_WITH_SOC_CONTEXT,,20,80,180
FAC-000077,POWERTRAIN,PWR-000008,engine_displacement_cc,NUMBER,1199,cc,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000078,POWERTRAIN,PWR-000008,torque_nm,NUMBER,197,Nm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000079,GENERATION,GEN-000008,length_mm,NUMBER,4102,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000080,GENERATION,GEN-000008,width_mm,NUMBER,1853,mm,VERIFIED,mirrors excluded,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000081,GENERATION,GEN-000008,height_mm,NUMBER,1535,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000082,CONFIGURATION,CFG-000008,ground_clearance_mm,NUMBER,200,mm,VERIFIED,,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000083,POWERTRAIN,PWR-000008,official_fuel_consumption_combined,NUMBER,7.3,L/100km,VERIFIED,WLTP,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
FAC-000084,GENERATION,GEN-000008,cargo_volume_max_l,NUMBER,1455,L,VERIFIED,up to; rear seats folded,2026,2026,TR,,,,NONE,EXACT_SCALAR,,,,
