queue_id,subject_id,fact_key,priority,collection_status,preferred_source_type,assigned_method,attempt_count,last_attempt_at,result,notes
QUE-000016,CFG-000003,ground_clearance_mm,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,NOT_FOUND,No official Turkey ground-clearance value found; kept UNKNOWN.
QUE-000017,CFG-000003,efficiency_or_range_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000018,CFG-000003,equipment_mvp_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000019,CFG-000004,identity_exact_configuration,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000020,CFG-000004,dimensions_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000021,CFG-000004,cargo_volume_l,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000022,CFG-000004,ground_clearance_mm,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000023,CFG-000004,efficiency_or_range_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000024,CFG-000004,equipment_mvp_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000025,CFG-000005,identity_exact_configuration,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000026,CFG-000005,dimensions_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000027,CFG-000005,cargo_volume_l,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000028,CFG-000005,ground_clearance_mm,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,NOT_FOUND,No official BYD Turkey ground-clearance value found; kept UNKNOWN.
QUE-000029,CFG-000005,efficiency_or_range_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000030,CFG-000005,equipment_mvp_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000031,CFG-000006,identity_exact_configuration,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000032,CFG-000006,dimensions_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000033,CFG-000006,cargo_volume_l,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000034,CFG-000006,ground_clearance_mm,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000035,CFG-000006,efficiency_or_range_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000036,CFG-000006,equipment_mvp_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000037,CFG-000007,identity_exact_configuration,P0,IN_PROGRESS,A1_OFFICIAL_MARKET,WEB,2,46248,PENDING,Togg closure retracted: exact generation/configuration applicability remains UNVERIFIED/PARTIAL.
QUE-000038,CFG-000007,dimensions_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,NOT_FOUND,No current official Turkey dimensions set safely located in closure pass; kept UNKNOWN.
QUE-000039,CFG-000007,cargo_volume_l,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,505 L verified from official T10X V2 Media Center.
QUE-000040,CFG-000007,ground_clearance_mm,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,NOT_FOUND,No current official Turkey ground-clearance value found; kept UNKNOWN.
QUE-000041,CFG-000007,efficiency_or_range_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,610 km combined WLTP (18-inch) verified for T10X V2; generic 523 km figure retained separately as non-exact.
QUE-000042,CFG-000007,equipment_mvp_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,ACC verified standard for Apr 2025+ T10X; remaining trim-dependent equipment remains UNKNOWN where unresolved.
QUE-000043,CFG-000008,identity_exact_configuration,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000044,CFG-000008,dimensions_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000045,CFG-000008,cargo_volume_l,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,410 L normal cargo verified; 328 dm3 VDA retained in measurement context.
QUE-000046,CFG-000008,ground_clearance_mm,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000047,CFG-000008,efficiency_or_range_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
QUE-000048,CFG-000008,equipment_mvp_core,P0,COMPLETE,A1_OFFICIAL_MARKET,WEB,2,46248,FOUND,P0 closure pass completed.
