LIST_NAME,VALUE
SUBJECT_TYPE,MODEL
SUBJECT_TYPE,GENERATION
SUBJECT_TYPE,POWERTRAIN
SUBJECT_TYPE,CONFIGURATION
VALUE_TYPE,NUMBER
VALUE_TYPE,TEXT
VALUE_TYPE,BOOLEAN
VALUE_TYPE,ENUM
VALUE_TYPE,DATE
EVIDENCE_STATE,VERIFIED
EVIDENCE_STATE,REPORTED
EVIDENCE_STATE,UNKNOWN
EVIDENCE_STATE,NOT_AVAILABLE
EVIDENCE_STATE,NOT_APPLICABLE
EVIDENCE_STATE,CONFLICTING
EQUIPMENT_AVAILABILITY,STANDARD
EQUIPMENT_AVAILABILITY,OPTIONAL
EQUIPMENT_AVAILABILITY,NOT_AVAILABLE
EQUIPMENT_AVAILABILITY,UNKNOWN
ASSESSMENT_BODY,EURO_NCAP
ASSESSMENT_BODY,ANCAP
ASSESSMENT_BODY,IIHS
ASSESSMENT_BODY,NHTSA
ASSESSMENT_BODY,OTHER
APPLICABILITY_STATUS,EXACT
APPLICABILITY_STATUS,PARTIAL
APPLICABILITY_STATUS,UNCERTAIN
APPLICABILITY_STATUS,NOT_APPLICABLE
APPLICABILITY_STATUS,CONFLICTING
SOURCE_TYPE,OFFICIAL_WEB
SOURCE_TYPE,OFFICIAL_BROCHURE
SOURCE_TYPE,OFFICIAL_TECH_SPEC
SOURCE_TYPE,OFFICIAL_PRICE_LIST
SOURCE_TYPE,OFFICIAL_MANUAL
SOURCE_TYPE,REGULATOR_DATA
SOURCE_TYPE,SAFETY_ASSESSMENT
SOURCE_TYPE,STRUCTURED_AUTOMOTIVE_DATA
SOURCE_TYPE,TRUSTED_SECONDARY
SOURCE_TYPE,COMMUNITY
SOURCE_TYPE,USER_EXPERIENCE
SOURCE_TYPE,OTHER
AUTHORITY_CLASS,A1_OFFICIAL_MARKET
AUTHORITY_CLASS,A2_OFFICIAL_MANUFACTURER
AUTHORITY_CLASS,A3_AUTHORITATIVE_INDEPENDENT
AUTHORITY_CLASS,A4_TRUSTED_STRUCTURED
AUTHORITY_CLASS,A5_TRUSTED_SECONDARY
AUTHORITY_CLASS,A6_EXPIYA_EXPERIENCE
AUTHORITY_CLASS,A7_COMMUNITY
AUTHORITY_CLASS,UNKNOWN
SOURCE_STATUS,ACTIVE
SOURCE_STATUS,ARCHIVED
SOURCE_STATUS,UNAVAILABLE
SOURCE_STATUS,SUPERSEDED
SOURCE_STATUS,UNKNOWN
EVIDENCE_TYPE,TECHNICAL_FACT
EVIDENCE_TYPE,EQUIPMENT_FACT
EVIDENCE_TYPE,SAFETY_ASSESSMENT
EXTRACTION_METHOD,STRUCTURED_IMPORT
EXTRACTION_METHOD,SCRIPT_EXTRACTED
EXTRACTION_METHOD,MANUAL
EXTRACTION_METHOD,LLM_ASSISTED
VERIFICATION_STATUS,VERIFIED
VERIFICATION_STATUS,UNVERIFIED
VERIFICATION_STATUS,REJECTED
VERIFICATION_STATUS,CONFLICTING
PRIORITY,P0
PRIORITY,P1
PRIORITY,P2
COLLECTION_STATUS,NOT_STARTED
COLLECTION_STATUS,IN_PROGRESS
COLLECTION_STATUS,BLOCKED
COLLECTION_STATUS,COMPLETE
COLLECTION_STATUS,NOT_REQUIRED
PREFERRED_SOURCE_TYPE,A1_OFFICIAL_MARKET
PREFERRED_SOURCE_TYPE,A2_OFFICIAL_MANUFACTURER
PREFERRED_SOURCE_TYPE,A3_AUTHORITATIVE_INDEPENDENT
PREFERRED_SOURCE_TYPE,A4_TRUSTED_STRUCTURED
PREFERRED_SOURCE_TYPE,A5_TRUSTED_SECONDARY
ASSIGNED_METHOD,WEB
ASSIGNED_METHOD,SCRIPT
ASSIGNED_METHOD,MANUAL
ASSIGNED_METHOD,LLM_ASSISTED
COLLECTION_RESULT,FOUND
COLLECTION_RESULT,NOT_FOUND
COLLECTION_RESULT,CONFLICT
COLLECTION_RESULT,NOT_APPLICABLE
COLLECTION_RESULT,PENDING
REQUIREMENT_LEVEL,MUST
REQUIREMENT_LEVEL,SHOULD
REQUIREMENT_LEVEL,NICE_TO_HAVE
FACT_SCOPE,MODEL
FACT_SCOPE,GENERATION
FACT_SCOPE,POWERTRAIN
FACT_SCOPE,CONFIGURATION
DATA_TYPE,ID
DATA_TYPE,FK
DATA_TYPE,TEXT
DATA_TYPE,INTEGER
DATA_TYPE,NUMBER
DATA_TYPE,BOOLEAN
DATA_TYPE,ENUM
DATA_TYPE,DATE
DATA_TYPE,URL
RANGE_SEMANTICS,NONE
RANGE_SEMANTICS,MIN_MAX
RANGE_SEMANTICS,MULTIPLE_OFFICIAL_VALUES
SOURCE_VALUE_SEMANTICS,EXACT_SCALAR
SOURCE_VALUE_SEMANTICS,EXACT_RANGE
SOURCE_VALUE_SEMANTICS,BATTERY_CAPACITY_UNQUALIFIED
SOURCE_VALUE_SEMANTICS,CHARGE_TIME_WITH_SOC_CONTEXT
SOURCE_VALUE_SEMANTICS,OFFICIAL_VALUES_CONFLICT
REQUIREMENT_LEVEL,CONDITIONAL_MUST
FACT_SCOPE,ANY
FACT_SCOPE,POWERTRAIN_OR_CONFIGURATION
